Year,MM,DD,DATE,N2O(ppb),SD(ppb)
1994,11,15,1994.871233000000,310.147,0.325100
1994,12,15,1994.953425000000,310.363,0.281400
1995,1,15,1995.038356000000,310.469,0.329700
1995,2,15,1995.123288000000,310.264,0.217800
1995,3,15,1995.200000000000,309.980,0.331600
1995,4,15,1995.284932000000,309.938,0.314400
1995,5,15,1995.367123000000,310.135,0.337000
1995,6,15,1995.452055000000,310.218,0.273200
1995,7,15,1995.534247000000,310.151,0.348000
1995,8,15,1995.619178000000,310.487,0.301500
1995,9,15,1995.704110000000,310.881,0.226600
1995,10,15,1995.786301000000,310.914,0.221300
1995,11,15,1995.871233000000,310.973,0.241300
1995,12,15,1995.953425000000,311.181,0.264500
1996,1,15,1996.038251000000,311.160,0.249100
1996,2,15,1996.122951000000,310.937,0.277700
1996,3,15,1996.202186000000,310.887,0.181400
1996,4,15,1996.286885000000,310.782,0.290300
1996,5,15,1996.368852000000,310.700,0.278500
1996,6,15,1996.453552000000,310.785,0.316700
1996,7,15,1996.535519000000,310.979,0.313900
1996,8,15,1996.620219000000,311.251,0.306000
1996,9,15,1996.704918000000,311.373,0.372300
1996,10,15,1996.786885000000,311.461,0.262500
1996,11,15,1996.871585000000,311.535,0.194900
1996,12,15,1996.953552000000,311.736,0.198000
1997,1,15,1997.038356000000,311.921,0.140000
1997,2,15,1997.123288000000,311.887,0.239900
1997,3,15,1997.200000000000,311.883,0.369100
1997,4,15,1997.284932000000,311.699,0.285700
1997,5,15,1997.367123000000,311.684,0.309400
1997,6,15,1997.452055000000,311.914,0.319600
1997,7,15,1997.534247000000,311.899,0.342600
1997,8,15,1997.619178000000,312.129,0.253600
1997,9,15,1997.704110000000,312.524,0.226400
1997,10,15,1997.786301000000,312.693,0.331100
1997,11,15,1997.871233000000,312.797,0.131800
1997,12,15,1997.953425000000,312.869,0.253900
1998,1,15,1998.038356000000,312.881,0.292500
1998,2,15,1998.123288000000,312.770,0.242200
1998,3,15,1998.200000000000,312.566,0.222700
1998,4,15,1998.284932000000,312.481,0.253400
1998,5,15,1998.367123000000,312.517,0.292200
1998,6,15,1998.452055000000,312.623,0.369800
1998,7,15,1998.534247000000,312.943,0.234700
1998,8,15,1998.619178000000,313.270,0.211000
1998,9,15,1998.704110000000,313.414,0.410400
1998,10,15,1998.786301000000,313.471,0.313200
1998,11,15,1998.871233000000,313.571,0.265600
1998,12,15,1998.953425000000,313.743,0.164900
1999,1,15,1999.038356000000,313.802,0.326900
1999,2,15,1999.123288000000,313.788,0.246400
1999,3,15,1999.200000000000,313.821,0.326500
1999,4,15,1999.284932000000,313.711,0.208400
1999,5,15,1999.367123000000,313.568,0.268900
1999,6,15,1999.452055000000,313.624,0.262100
1999,7,15,1999.534247000000,313.777,0.137100
1999,8,15,1999.619178000000,313.964,0.234100
1999,9,15,1999.704110000000,314.209,0.331100
1999,10,15,1999.786301000000,314.344,0.187800
1999,11,15,1999.871233000000,314.350,0.248600
1999,12,15,1999.953425000000,314.534,0.233500
2000,1,15,2000.038251000000,314.726,0.233400
2000,2,15,2000.122951000000,314.632,0.270800
2000,3,15,2000.202186000000,314.517,0.279700
2000,4,15,2000.286885000000,314.433,0.590800
2000,5,15,2000.368852000000,314.537,0.373800
2000,6,15,2000.453552000000,314.715,0.0857000
2000,7,15,2000.535519000000,314.654,0.378300
2000,8,15,2000.620219000000,314.719,0.161600
2000,9,15,2000.704918000000,314.963,0.299400
2000,10,15,2000.786885000000,315.107,0.278200
2000,11,15,2000.871585000000,315.253,0.185000
2000,12,15,2000.953552000000,315.361,0.135200
2001,1,15,2001.038356000000,315.268,0.232600
2001,2,15,2001.123288000000,315.103,0.110400
2001,3,15,2001.200000000000,314.893,0.273500
2001,4,15,2001.284932000000,314.729,0.226900
2001,5,15,2001.367123000000,314.881,0.109000
2001,6,15,2001.452055000000,315.131,0.240100
2001,7,15,2001.534247000000,315.253,0.172300
2001,8,15,2001.619178000000,315.407,0.260200
2001,9,15,2001.704110000000,315.677,0.241000
2001,10,15,2001.786301000000,315.810,0.204400
2001,11,15,2001.871233000000,315.846,0.136700
2001,12,15,2001.953425000000,315.974,0.173000
2002,1,15,2002.038356000000,316.056,0.164500
2002,2,15,2002.123288000000,316.059,0.334800
2002,3,15,2002.200000000000,315.888,0.191900
2002,4,15,2002.284932000000,315.743,0.188000
2002,5,15,2002.367123000000,315.778,0.230600
2002,6,15,2002.452055000000,315.992,0.398400
2002,7,15,2002.534247000000,316.164,0.378900
2002,8,15,2002.619178000000,316.176,0.137200
2002,9,15,2002.704110000000,316.118,0.126800
2002,10,15,2002.786301000000,316.151,0.211500
2002,11,15,2002.871233000000,316.181,0.183800
2002,12,15,2002.953425000000,316.125,0.266500
2003,1,15,2003.038356000000,316.257,0.149900
2003,2,15,2003.123288000000,316.306,0.369900
2003,3,15,2003.200000000000,316.165,0.202800
2003,4,15,2003.284932000000,316.200,0.246600
2003,5,15,2003.367123000000,316.427,0.265000
2003,6,15,2003.452055000000,316.484,0.298000
2003,7,15,2003.534247000000,316.470,0.00780000
2003,8,15,2003.619178000000,316.467,0.513500
2003,9,15,2003.704110000000,316.619,0.437700
2003,10,15,2003.786301000000,316.794,0.365300
2003,11,15,2003.871233000000,316.975,0.164500
2003,12,15,2003.953425000000,317.367,0.319800
2004,1,15,2004.038251000000,317.464,0.332300
2004,2,15,2004.122951000000,317.200,0.215100
2004,3,15,2004.202186000000,317.074,0.145700
2004,4,15,2004.286885000000,316.985,0.120000
2004,5,15,2004.368852000000,316.971,0.0936000
2004,6,15,2004.453552000000,317.045,0.280700
2004,7,15,2004.535519000000,317.183,0.128100
2004,8,15,2004.620219000000,317.572,0.218200
2004,9,15,2004.704918000000,317.720,0.201200
2004,10,15,2004.786885000000,317.626,0.125000
2004,11,15,2004.871585000000,317.672,0.180100
2004,12,15,2004.953552000000,317.704,0.475200
2005,1,15,2005.038356000000,317.944,0.491000
2005,2,15,2005.123288000000,317.955,0.134500
2005,3,15,2005.200000000000,317.476,0.288900
2005,4,15,2005.284932000000,317.265,0.434000
2005,5,15,2005.367123000000,317.633,0.191100
2005,6,15,2005.452055000000,318.002,0.268600
2005,7,15,2005.534247000000,317.927,0.287800
2005,8,15,2005.619178000000,318.047,0.329800
2005,9,15,2005.704110000000,318.307,0.330000
2005,10,15,2005.786301000000,318.460,0.468700
2005,11,15,2005.871233000000,318.811,0.0913000
2005,12,15,2005.953425000000,318.762,0.425600
2006,1,15,2006.038356000000,318.521,0.0504000
2006,2,15,2006.123288000000,318.587,0.509500
2006,3,15,2006.200000000000,318.589,0.306800
2006,4,15,2006.284932000000,318.459,0.304300
2006,5,15,2006.367123000000,318.453,0.149800
2006,6,15,2006.452055000000,318.595,0.0547000
2006,7,15,2006.534247000000,318.698,0.0625000
2006,8,15,2006.619178000000,318.988,0.202400
2006,9,15,2006.704110000000,319.245,0.0342000
2006,10,15,2006.786301000000,319.219,0.229000
2006,11,15,2006.871233000000,319.352,0.239900
2006,12,15,2006.953425000000,319.486,0.124300
2007,1,15,2007.038356000000,319.375,0.336400
2007,2,15,2007.123288000000,319.294,0.00550000
2007,3,15,2007.200000000000,319.297,0.198100
2007,4,15,2007.284932000000,319.137,0.0881000
2007,5,15,2007.367123000000,318.873,0.268200
2007,6,15,2007.452055000000,318.992,0.177800
2007,7,15,2007.534247000000,319.275,0.0711000
2007,8,15,2007.619178000000,319.542,0.136800
2007,9,15,2007.704110000000,319.824,0.0848000
2007,10,15,2007.786301000000,319.953,0.307200
2007,11,15,2007.871233000000,320.218,0.247800
2007,12,15,2007.953425000000,320.225,0.110500
2008,1,15,2008.038251000000,320.017,0.100100
2008,2,15,2008.122951000000,320.464,0.365700
2008,3,15,2008.202186000000,320.766,0.0339000
2008,4,15,2008.286885000000,320.556,0.405100
2008,5,15,2008.368852000000,320.465,0.102100
2008,6,15,2008.453552000000,320.505,0.676000
2008,7,15,2008.535519000000,320.650,0.141700
2008,8,15,2008.620219000000,320.833,0.149500
2008,9,15,2008.704918000000,320.918,0.341900
2008,10,15,2008.786885000000,321.084,0.0931000
2008,11,15,2008.871585000000,321.406,0.104300
2008,12,15,2008.953552000000,321.386,0.377400
2009,1,15,2009.038356000000,321.277,0.0458000
2009,2,15,2009.123288000000,321.481,0.0385000
2009,3,15,2009.200000000000,321.248,0.179800
2009,4,15,2009.284932000000,320.783,0.161800
2009,5,15,2009.367123000000,320.859,0.332600
2009,6,15,2009.452055000000,321.110,0.192200
2009,7,15,2009.534247000000,321.263,0.421900
2009,8,15,2009.619178000000,321.480,0.191700
2009,9,15,2009.704110000000,321.535,0.130900
2009,10,15,2009.786301000000,321.757,0.125900
2009,11,15,2009.871233000000,322.111,0.272300
2009,12,15,2009.953425000000,322.101,0.159700
2010,1,15,2010.038356000000,322.203,0.0710000
2010,2,15,2010.123288000000,322.329,0.0213000
2010,3,15,2010.200000000000,322.104,0.106000
2010,4,15,2010.284932000000,321.749,0.0913000
2010,5,15,2010.367123000000,321.630,0.0494000
2010,6,15,2010.452055000000,322.034,0.209600
2010,7,15,2010.534247000000,322.421,0.0590000
2010,8,15,2010.619178000000,322.435,0.108300
2010,9,15,2010.704110000000,322.633,0.0932000
2010,10,15,2010.786301000000,322.913,0.0671000
2010,11,15,2010.871233000000,323.177,0.0955000
2010,12,15,2010.953425000000,323.445,0.0471000
2011,1,15,2011.038356000000,323.278,0.112400
2011,2,15,2011.123288000000,322.994,0.0365000
2011,3,15,2011.200000000000,323.030,0.0357000
2011,4,15,2011.284932000000,323.076,0.0125000
2011,5,15,2011.367123000000,323.023,0.0112000
2011,6,15,2011.452055000000,322.989,0.130900
2011,7,15,2011.534247000000,322.913,0.306500
2011,8,15,2011.619178000000,323.093,0.111300
2011,9,15,2011.704110000000,323.433,0.309900
2011,10,15,2011.786301000000,323.595,0.0459000
2011,11,15,2011.871233000000,323.754,0.0970000
2011,12,15,2011.953425000000,323.878,0.0575000
2012,1,15,2012.038251000000,324.155,0.146500
2012,2,15,2012.122951000000,324.094,0.113200
2012,3,15,2012.202186000000,323.677,0.329500
2012,4,15,2012.286885000000,323.739,0.103100
2012,5,15,2012.368852000000,324.064,0.0596000
2012,6,15,2012.453552000000,324.048,0.423300
2012,7,15,2012.535519000000,324.022,0.176500
2012,8,15,2012.620219000000,324.374,0.165300
2012,9,15,2012.704918000000,324.631,0.195700
2012,10,15,2012.786885000000,324.719,0.0824000
2012,11,15,2012.871585000000,324.984,0.161100
2012,12,15,2012.953552000000,325.017,0.199000
2013,1,15,2013.038356000000,324.852,0.466100
2013,2,15,2013.123288000000,324.802,0.192800
2013,3,15,2013.200000000000,324.734,0.0158000
2013,4,15,2013.284932000000,324.714,0.325100
2013,5,15,2013.367123000000,324.648,0.0951000
2013,6,15,2013.452055000000,324.855,0.132900
2013,7,15,2013.534247000000,325.266,0.0716000
2013,8,15,2013.619178000000,325.293,0.260400
2013,9,15,2013.704110000000,325.434,0.156000
2013,10,15,2013.786301000000,325.601,0.485600
2013,11,15,2013.871233000000,325.502,0.205900
2013,12,15,2013.953425000000,325.345,0.464400
2014,1,15,2014.038356000000,325.322,0.109900
2014,2,15,2014.123288000000,325.522,0.0598000
2014,3,15,2014.200000000000,325.497,0.204800
2014,4,15,2014.284932000000,325.366,0.162400
2014,5,15,2014.367123000000,325.501,0.276400
2014,6,15,2014.452055000000,325.818,0.250800
2014,7,15,2014.534247000000,326.032,0.0359000
2014,8,15,2014.619178000000,326.170,0.311900
2014,9,15,2014.704110000000,326.366,0.163000
2014,10,15,2014.786301000000,326.550,0.170200
2014,11,15,2014.871233000000,326.811,0.207400
2014,12,15,2014.953425000000,326.840,0.315300
2015,1,15,2015.038356000000,326.872,0.268200
2015,2,15,2015.123288000000,326.982,0.166800
2015,3,15,2015.200000000000,326.718,0.324700
2015,4,15,2015.284932000000,326.630,0.301100
2015,5,15,2015.367123000000,326.891,0.208500
2015,6,15,2015.452055000000,326.971,0.155100
2015,7,15,2015.534247000000,327.107,0.182300
2015,8,15,2015.619178000000,327.327,0.258600
2015,9,15,2015.704110000000,327.376,0.130800
2015,10,15,2015.786301000000,327.356,0.151800
2015,11,15,2015.871233000000,327.460,0.177900
2015,12,15,2015.953425000000,327.643,0.239300
2016,1,15,2016.038251000000,327.690,0.222600
2016,2,15,2016.122951000000,327.600,0.166600
2016,3,15,2016.202186000000,327.531,0.194900
2016,4,15,2016.286885000000,327.446,0.186800
2016,5,15,2016.368852000000,327.443,0.306600
2016,6,15,2016.453552000000,327.612,0.237700
2016,7,15,2016.535519000000,327.713,0.198100
2016,8,15,2016.620219000000,327.841,0.194300
2016,9,15,2016.704918000000,328.134,0.384700
2016,10,15,2016.786885000000,328.174,0.216700
2016,11,15,2016.871585000000,328.046,0.288200
2016,12,15,2016.953552000000,328.115,0.182000
2017,1,15,2017.038356000000,328.200,0.207300
2017,2,15,2017.123288000000,327.950,0.366000
2017,3,15,2017.200000000000,327.743,0.301000
2017,4,15,2017.284932000000,327.921,0.234800
2017,5,15,2017.367123000000,328.212,0.271700
2017,6,15,2017.452055000000,328.510,0.379300
2017,7,15,2017.534247000000,328.743,0.353600
2017,8,15,2017.619178000000,328.852,0.212900
2017,9,15,2017.704110000000,329.064,0.309500
2017,10,15,2017.786301000000,329.426,0.365600
2017,11,15,2017.871233000000,329.663,0.264000
2017,12,15,2017.953425000000,329.682,0.233700
2018,1,15,2018.038356000000,329.763,0.205800
2018,2,15,2018.123288000000,329.792,0.206200
2018,3,15,2018.200000000000,329.668,0.284900
2018,4,15,2018.284932000000,329.811,0.266200
2018,5,15,2018.367123000000,329.922,0.550000
2018,6,15,2018.452055000000,329.959,0.256400
2018,7,15,2018.534247000000,330.212,0.294600
2018,8,15,2018.619178000000,330.411,0.203000
2018,9,15,2018.704110000000,330.670,0.135600
2018,10,15,2018.786301000000,330.740,0.130200
2018,11,15,2018.871233000000,330.834,0.231800
2018,12,15,2018.953425000000,330.980,0.376700
2019,1,15,2019.038356000000,330.717,0.356000
2019,2,15,2019.123288000000,330.517,0.274400
2019,3,15,2019.200000000000,330.432,0.262800
2019,4,15,2019.284932000000,330.291,0.272300
2019,5,15,2019.367123000000,330.270,0.125100
2019,6,15,2019.452055000000,330.391,0.360700
2019,7,15,2019.534247000000,330.790,0.296600
2019,8,15,2019.619178000000,330.940,0.0325000
2019,9,15,2019.704110000000,330.896,0.187400
2019,10,15,2019.786301000000,331.192,0.319700
2019,11,15,2019.871233000000,331.299,0.157900
2019,12,15,2019.953425000000,331.008,0.318300
2020,1,15,2020.038251000000,330.934,0.371100
2020,2,15,2020.122951000000,331.231,0.276100
2020,3,15,2020.202186000000,331.315,0.335900
2020,4,15,2020.286885000000,330.987,0.336100
2020,5,15,2020.368852000000,331.024,0.301700
2020,6,15,2020.453552000000,331.496,0.233000
2020,7,15,2020.535519000000,331.703,0.287300
2020,8,15,2020.620219000000,331.895,0.415400
2020,9,15,2020.704918000000,332.071,0.312700
2020,10,15,2020.786885000000,332.173,0.301600
2020,11,15,2020.871585000000,332.461,0.181800
2020,12,15,2020.953552000000,332.687,0.286700
