Year,MM,DD,DATE,CH4(ppb),SD(ppb)
1988,10,15,1988.786885000000,1658.11,1.90950
1988,11,15,1988.871585000000,1652.00,3.91490
1988,12,15,1988.953552000000,1643.78,2.56880
1989,1,15,1989.038356000000,1641.58,2.93150
1989,2,15,1989.123288000000,1642.63,2.52260
1989,3,15,1989.200000000000,1640.50,2.13940
1989,4,15,1989.284932000000,1642.08,2.67610
1989,5,15,1989.367123000000,1649.82,4.09210
1989,6,15,1989.452055000000,1657.42,1.99320
1989,7,15,1989.534247000000,1663.94,2.73210
1989,8,15,1989.619178000000,1668.45,2.33150
1989,9,15,1989.704110000000,1669.37,1.94770
1989,10,15,1989.786301000000,1668.38,2.23740
1989,11,15,1989.871233000000,1664.56,2.57130
1989,12,15,1989.953425000000,1656.98,3.70530
1990,1,15,1990.038356000000,1648.70,2.53510
1990,2,15,1990.123288000000,1644.23,1.65910
1990,3,15,1990.200000000000,1645.37,1.66000
1990,4,15,1990.284932000000,1650.98,2.22420
1990,5,15,1990.367123000000,1659.24,2.94620
1990,6,15,1990.452055000000,1666.22,3.75850
1990,7,15,1990.534247000000,1671.12,2.02480
1990,8,15,1990.619178000000,1674.72,2.36360
1990,9,15,1990.704110000000,1676.45,2.46650
1990,10,15,1990.786301000000,1676.51,1.42150
1990,11,15,1990.871233000000,1673.79,2.19850
1990,12,15,1990.953425000000,1665.74,3.48460
1991,1,15,1991.038356000000,1655.77,2.49390
1991,2,15,1991.123288000000,1652.51,1.16840
1991,3,15,1991.200000000000,1654.42,1.53860
1991,4,15,1991.284932000000,1660.13,3.52970
1991,5,15,1991.367123000000,1669.36,4.69620
1991,6,15,1991.452055000000,1675.73,3.51310
1991,7,15,1991.534247000000,1681.15,2.33070
1991,8,15,1991.619178000000,1685.44,2.20910
1991,9,15,1991.704110000000,1688.53,2.05600
1991,10,15,1991.786301000000,1693.54,4.20290
1991,11,15,1991.871233000000,1690.45,3.13890
1991,12,15,1991.953425000000,1680.81,3.26010
1992,1,15,1992.038251000000,1674.90,2.99330
1992,2,15,1992.122951000000,1672.44,0.372400
1992,3,15,1992.202186000000,1672.94,1.72970
1992,4,15,1992.286885000000,1676.67,1.64120
1992,5,15,1992.368852000000,1682.61,2.35780
1992,6,15,1992.453552000000,1689.46,2.63610
1992,7,15,1992.535519000000,1695.92,2.55050
1992,8,15,1992.620219000000,1700.67,1.98770
1992,9,15,1992.704918000000,1702.12,1.85280
1992,10,15,1992.786885000000,1698.33,2.36820
1992,11,15,1992.871585000000,1692.55,3.60820
1992,12,15,1992.953552000000,1686.60,2.65840
1993,1,15,1993.038356000000,1676.83,3.57910
1993,2,15,1993.123288000000,1671.30,1.62340
1993,3,15,1993.200000000000,1673.51,3.49510
1993,4,15,1993.284932000000,1679.26,2.60930
1993,5,15,1993.367123000000,1686.11,3.17240
1993,6,15,1993.452055000000,1691.70,1.73980
1993,7,15,1993.534247000000,1696.52,4.40800
1993,8,15,1993.619178000000,1701.06,1.81630
1993,9,15,1993.704110000000,1702.61,0.218100
1993,10,15,1993.786301000000,1701.11,2.34680
1993,11,15,1993.871233000000,1696.64,2.11230
1993,12,15,1993.953425000000,1689.83,2.89580
1994,1,15,1994.038356000000,1681.72,2.39140
1994,2,15,1994.123288000000,1676.05,2.46470
1994,3,15,1994.200000000000,1676.05,2.35230
1994,4,15,1994.284932000000,1681.47,3.19880
1994,5,15,1994.367123000000,1689.89,3.77640
1994,6,15,1994.452055000000,1697.31,3.14970
1994,7,15,1994.534247000000,1703.22,2.97500
1994,8,15,1994.619178000000,1706.73,2.52220
1994,9,15,1994.704110000000,1707.11,2.57480
1994,10,15,1994.786301000000,1707.99,1.27580
1994,11,15,1994.871233000000,1704.84,2.77380
1994,12,15,1994.953425000000,1696.92,3.29560
1995,1,15,1995.038356000000,1689.87,2.58030
1995,2,15,1995.123288000000,1685.47,1.14380
1995,3,15,1995.200000000000,1684.36,2.04060
1995,4,15,1995.284932000000,1688.08,2.03440
1995,5,15,1995.367123000000,1695.04,3.29650
1995,6,15,1995.452055000000,1701.10,3.32590
1995,7,15,1995.534247000000,1706.01,2.19170
1995,8,15,1995.619178000000,1711.53,2.07700
1995,9,15,1995.704110000000,1714.68,1.91150
1995,10,15,1995.786301000000,1713.53,2.42870
1995,11,15,1995.871233000000,1710.06,2.29520
1995,12,15,1995.953425000000,1702.90,3.45990
1996,1,15,1996.038251000000,1693.34,3.41810
1996,2,15,1996.122951000000,1686.67,2.50350
1996,3,15,1996.202186000000,1684.71,3.22320
1996,4,15,1996.286885000000,1689.90,3.08500
1996,5,15,1996.368852000000,1698.20,2.99860
1996,6,15,1996.453552000000,1703.65,2.79220
1996,7,15,1996.535519000000,1708.93,2.47920
1996,8,15,1996.620219000000,1714.51,2.65280
1996,9,15,1996.704918000000,1716.58,2.14970
1996,10,15,1996.786885000000,1714.83,2.07550
1996,11,15,1996.871585000000,1709.84,2.77500
1996,12,15,1996.953552000000,1702.32,3.09190
1997,1,15,1997.038356000000,1694.54,2.56100
1997,2,15,1997.123288000000,1691.27,1.66210
1997,3,15,1997.200000000000,1695.07,3.09540
1997,4,15,1997.284932000000,1699.97,2.73110
1997,5,15,1997.367123000000,1705.39,2.93250
1997,6,15,1997.452055000000,1712.40,2.03100
1997,7,15,1997.534247000000,1717.65,2.08020
1997,8,15,1997.619178000000,1722.24,1.83410
1997,9,15,1997.704110000000,1723.26,1.69550
1997,10,15,1997.786301000000,1720.38,2.17360
1997,11,15,1997.871233000000,1715.90,2.05060
1997,12,15,1997.953425000000,1711.06,2.32270
1998,1,15,1998.038356000000,1704.64,2.64080
1998,2,15,1998.123288000000,1698.98,1.83170
1998,3,15,1998.200000000000,1697.60,2.25910
1998,4,15,1998.284932000000,1700.97,2.96250
1998,5,15,1998.367123000000,1709.75,4.17800
1998,6,15,1998.452055000000,1718.65,2.43800
1998,7,15,1998.534247000000,1724.06,3.20610
1998,8,15,1998.619178000000,1729.09,1.76530
1998,9,15,1998.704110000000,1732.86,1.94690
1998,10,15,1998.786301000000,1732.63,1.10620
1998,11,15,1998.871233000000,1728.03,3.39170
1998,12,15,1998.953425000000,1720.83,3.03010
1999,1,15,1999.038356000000,1714.11,2.08860
1999,2,15,1999.123288000000,1709.79,1.93040
1999,3,15,1999.200000000000,1709.43,2.00040
1999,4,15,1999.284932000000,1714.44,2.65600
1999,5,15,1999.367123000000,1722.41,3.37720
1999,6,15,1999.452055000000,1730.06,2.70240
1999,7,15,1999.534247000000,1735.89,2.57700
1999,8,15,1999.619178000000,1739.07,2.09150
1999,9,15,1999.704110000000,1741.00,1.44110
1999,10,15,1999.786301000000,1741.31,1.93470
1999,11,15,1999.871233000000,1735.73,3.15890
1999,12,15,1999.953425000000,1726.53,3.21780
2000,1,15,2000.038251000000,1717.90,3.04710
2000,2,15,2000.122951000000,1711.90,1.93530
2000,3,15,2000.202186000000,1711.83,1.94380
2000,4,15,2000.286885000000,1717.94,3.76500
2000,5,15,2000.368852000000,1724.92,3.14690
2000,6,15,2000.453552000000,1732.11,2.68010
2000,7,15,2000.535519000000,1737.91,2.53390
2000,8,15,2000.620219000000,1739.81,1.50830
2000,9,15,2000.704918000000,1740.61,1.75900
2000,10,15,2000.786885000000,1740.21,1.70460
2000,11,15,2000.871585000000,1735.47,3.91180
2000,12,15,2000.953552000000,1726.76,3.64450
2001,1,15,2001.038356000000,1716.87,3.03830
2001,2,15,2001.123288000000,1710.43,1.46270
2001,3,15,2001.200000000000,1710.57,1.99150
2001,4,15,2001.284932000000,1715.29,2.24790
2001,5,15,2001.367123000000,1723.02,2.66860
2001,6,15,2001.452055000000,1731.23,3.21430
2001,7,15,2001.534247000000,1737.06,1.66460
2001,8,15,2001.619178000000,1740.13,1.84100
2001,9,15,2001.704110000000,1741.34,1.69130
2001,10,15,2001.786301000000,1738.85,2.27380
2001,11,15,2001.871233000000,1732.16,3.52640
2001,12,15,2001.953425000000,1724.18,3.89720
2002,1,15,2002.038356000000,1715.56,2.40390
2002,2,15,2002.123288000000,1711.20,1.04680
2002,3,15,2002.200000000000,1712.42,2.57740
2002,4,15,2002.284932000000,1717.35,2.03120
2002,5,15,2002.367123000000,1724.89,2.91650
2002,6,15,2002.452055000000,1732.76,2.97210
2002,7,15,2002.534247000000,1738.65,1.96050
2002,8,15,2002.619178000000,1741.83,2.17770
2002,9,15,2002.704110000000,1742.92,0.770600
2002,10,15,2002.786301000000,1741.78,1.73710
2002,11,15,2002.871233000000,1737.20,2.33120
2002,12,15,2002.953425000000,1728.69,3.37670
2003,1,15,2003.038356000000,1719.05,2.74240
2003,2,15,2003.123288000000,1712.88,1.62730
2003,3,15,2003.200000000000,1712.46,1.87720
2003,4,15,2003.284932000000,1718.41,2.60070
2003,5,15,2003.367123000000,1726.63,2.58660
2003,6,15,2003.452055000000,1732.50,2.96700
2003,7,15,2003.534247000000,1737.02,1.74840
2003,8,15,2003.619178000000,1741.75,1.61140
2003,9,15,2003.704110000000,1744.54,1.64210
2003,10,15,2003.786301000000,1742.22,2.17750
2003,11,15,2003.871233000000,1735.86,2.92780
2003,12,15,2003.953425000000,1729.31,3.05500
2004,1,15,2004.038251000000,1720.92,2.84100
2004,2,15,2004.122951000000,1713.13,2.23810
2004,3,15,2004.202186000000,1710.95,2.76740
2004,4,15,2004.286885000000,1716.48,3.30940
2004,5,15,2004.368852000000,1725.24,3.01990
2004,6,15,2004.453552000000,1731.91,2.83550
2004,7,15,2004.535519000000,1738.43,2.74240
2004,8,15,2004.620219000000,1743.16,2.06280
2004,9,15,2004.704918000000,1743.40,1.91630
2004,10,15,2004.786885000000,1741.14,1.87130
2004,11,15,2004.871585000000,1734.92,2.80070
2004,12,15,2004.953552000000,1726.32,3.81300
2005,1,15,2005.038356000000,1717.53,2.91110
2005,2,15,2005.123288000000,1711.54,1.91600
2005,3,15,2005.200000000000,1711.78,3.18450
2005,4,15,2005.284932000000,1717.25,2.16700
2005,5,15,2005.367123000000,1725.43,3.93310
2005,6,15,2005.452055000000,1731.16,1.32180
2005,7,15,2005.534247000000,1735.17,3.39030
2005,8,15,2005.619178000000,1740.42,1.91340
2005,9,15,2005.704110000000,1742.04,0.916600
2005,10,15,2005.786301000000,1740.31,3.71210
2005,11,15,2005.871233000000,1736.03,1.76520
2005,12,15,2005.953425000000,1728.20,3.25250
2006,1,15,2006.038356000000,1718.57,4.41580
2006,2,15,2006.123288000000,1712.01,3.54300
2006,3,15,2006.200000000000,1712.10,2.49520
2006,4,15,2006.284932000000,1717.28,2.28330
2006,5,15,2006.367123000000,1723.30,3.27110
2006,6,15,2006.452055000000,1729.67,2.10740
2006,7,15,2006.534247000000,1734.84,3.95200
2006,8,15,2006.619178000000,1737.94,2.84700
2006,9,15,2006.704110000000,1740.41,1.75040
2006,10,15,2006.786301000000,1740.07,2.32670
2006,11,15,2006.871233000000,1735.77,3.89230
2006,12,15,2006.953425000000,1727.92,2.96540
2007,1,15,2007.038356000000,1718.15,2.67580
2007,2,15,2007.123288000000,1712.65,1.85570
2007,3,15,2007.200000000000,1714.02,2.29410
2007,4,15,2007.284932000000,1720.09,2.13080
2007,5,15,2007.367123000000,1727.99,2.97360
2007,6,15,2007.452055000000,1736.27,3.10870
2007,7,15,2007.534247000000,1742.41,2.52860
2007,8,15,2007.619178000000,1745.61,1.64110
2007,9,15,2007.704110000000,1748.55,2.01170
2007,10,15,2007.786301000000,1748.72,1.71090
2007,11,15,2007.871233000000,1744.03,2.29740
2007,12,15,2007.953425000000,1736.76,2.52700
2008,1,15,2008.038251000000,1729.30,2.79390
2008,2,15,2008.122951000000,1724.48,1.99840
2008,3,15,2008.202186000000,1726.00,3.48730
2008,4,15,2008.286885000000,1732.78,4.09870
2008,5,15,2008.368852000000,1738.06,1.70500
2008,6,15,2008.453552000000,1742.45,2.89640
2008,7,15,2008.535519000000,1750.35,3.35750
2008,8,15,2008.620219000000,1755.95,1.47510
2008,9,15,2008.704918000000,1755.92,2.21620
2008,10,15,2008.786885000000,1754.49,2.41350
2008,11,15,2008.871585000000,1749.15,3.94340
2008,12,15,2008.953552000000,1738.87,3.58310
2009,1,15,2009.038356000000,1730.30,3.84870
2009,2,15,2009.123288000000,1725.99,0.664500
2009,3,15,2009.200000000000,1726.65,2.10020
2009,4,15,2009.284932000000,1732.16,2.39210
2009,5,15,2009.367123000000,1738.83,3.83640
2009,6,15,2009.452055000000,1745.96,4.16160
2009,7,15,2009.534247000000,1752.81,2.60960
2009,8,15,2009.619178000000,1758.18,1.63650
2009,9,15,2009.704110000000,1760.28,1.61470
2009,10,15,2009.786301000000,1758.99,1.64790
2009,11,15,2009.871233000000,1753.59,2.87210
2009,12,15,2009.953425000000,1743.40,3.67070
2010,1,15,2010.038356000000,1735.33,2.37440
2010,2,15,2010.123288000000,1731.99,1.13560
2010,3,15,2010.200000000000,1732.32,2.33350
2010,4,15,2010.284932000000,1736.55,1.55420
2010,5,15,2010.367123000000,1742.24,2.32540
2010,6,15,2010.452055000000,1751.73,3.94380
2010,7,15,2010.534247000000,1762.05,3.02800
2010,8,15,2010.619178000000,1765.88,1.40140
2010,9,15,2010.704110000000,1766.06,1.40630
2010,10,15,2010.786301000000,1765.36,1.11820
2010,11,15,2010.871233000000,1761.74,1.68920
2010,12,15,2010.953425000000,1754.44,3.37350
2011,1,15,2011.038356000000,1745.13,3.36350
2011,2,15,2011.123288000000,1739.75,1.00670
2011,3,15,2011.200000000000,1742.53,2.25650
2011,4,15,2011.284932000000,1749.86,1.77390
2011,5,15,2011.367123000000,1753.64,4.13090
2011,6,15,2011.452055000000,1758.17,2.27540
2011,7,15,2011.534247000000,1765.25,2.79650
2011,8,15,2011.619178000000,1770.28,1.25730
2011,9,15,2011.704110000000,1773.02,1.23360
2011,10,15,2011.786301000000,1772.39,1.42290
2011,11,15,2011.871233000000,1766.91,2.59540
2011,12,15,2011.953425000000,1757.90,2.84900
2012,1,15,2012.038251000000,1749.28,2.27600
2012,2,15,2012.122951000000,1743.97,2.08850
2012,3,15,2012.202186000000,1743.81,1.83580
2012,4,15,2012.286885000000,1750.01,2.70420
2012,5,15,2012.368852000000,1757.42,2.08700
2012,6,15,2012.453552000000,1763.81,2.11130
2012,7,15,2012.535519000000,1770.34,2.42910
2012,8,15,2012.620219000000,1775.52,1.74480
2012,9,15,2012.704918000000,1777.99,1.30130
2012,10,15,2012.786885000000,1776.50,1.37410
2012,11,15,2012.871585000000,1772.01,2.04870
2012,12,15,2012.953552000000,1763.71,3.35570
2013,1,15,2013.038360000000,1752.55,2.69600
2013,2,15,2013.123290000000,1747.38,0.871000
2013,3,15,2013.200000000000,1748.40,1.19700
2013,4,15,2013.284930000000,1753.17,2.04200
2013,5,15,2013.367120000000,1761.51,2.94000
2013,6,15,2013.452050000000,1769.94,2.08800
2013,7,15,2013.534250000000,1775.08,1.42800
2013,8,15,2013.619180000000,1779.33,1.32200
2013,9,15,2013.704110000000,1781.76,0.555000
2013,10,15,2013.786300000000,1779.78,1.37100
2013,11,15,2013.871230000000,1774.08,2.16200
2013,12,15,2013.953420000000,1765.76,2.86700
2014,1,15,2014.038360000000,1756.52,2.44200
2014,2,15,2014.123290000000,1752.04,0.733000
2014,3,15,2014.200000000000,1754.62,1.72300
2014,4,15,2014.284930000000,1760.98,2.21200
2014,5,15,2014.367120000000,1769.32,2.93000
2014,6,15,2014.452050000000,1779.27,2.93900
2014,7,15,2014.534250000000,1787.19,1.89800
2014,8,15,2014.619180000000,1791.34,1.02900
2014,9,15,2014.704110000000,1792.62,0.429000
2014,10,15,2014.786300000000,1791.39,0.963000
2014,11,15,2014.871230000000,1786.89,1.90800
2014,12,15,2014.953420000000,1779.13,2.72000
2015,1,15,2015.038360000000,1770.35,2.37800
2015,2,15,2015.123290000000,1765.46,0.781000
2015,3,15,2015.200000000000,1767.17,1.56700
2015,4,15,2015.284930000000,1773.54,2.24700
2015,5,15,2015.367120000000,1781.12,2.41000
2015,6,15,2015.452050000000,1788.90,2.31000
2015,7,15,2015.534250000000,1795.80,1.95600
2015,8,15,2015.619180000000,1800.50,1.25000
2015,9,15,2015.704110000000,1802.40,0.610000
2015,10,15,2015.786300000000,1801.23,0.970000
2015,11,15,2015.871230000000,1796.49,2.04000
2015,12,15,2015.953420000000,1788.40,2.87300
2016,1,15,2016.038250000000,1779.16,2.53600
2016,2,15,2016.122950000000,1773.95,0.861000
2016,3,15,2016.202190000000,1775.29,1.43400
2016,4,15,2016.286890000000,1780.37,1.90800
2016,5,15,2016.368850000000,1787.54,2.57000
2016,6,15,2016.453550000000,1795.95,2.35000
2016,7,15,2016.535520000000,1801.94,1.46700
2016,8,15,2016.620220000000,1805.22,0.946000
2016,9,15,2016.704920000000,1806.98,0.683000
2016,10,15,2016.786890000000,1805.49,1.27000
2016,11,15,2016.871580000000,1799.20,2.54500
2016,12,15,2016.953550000000,1789.66,3.11900
2017,1,15,2017.038360000000,1780.48,2.31600
2017,2,15,2017.123290000000,1776.21,0.718000
2017,3,15,2017.200000000000,1777.46,1.27900
2017,4,15,2017.284930000000,1782.97,2.31400
2017,5,15,2017.367120000000,1792.38,3.24600
2017,6,15,2017.452050000000,1802.37,2.67800
2017,7,15,2017.534250000000,1809.71,1.94700
2017,8,15,2017.619180000000,1814.83,1.25900
2017,9,15,2017.704110000000,1816.97,0.533000
2017,10,15,2017.786300000000,1815.55,1.25500
2017,11,15,2017.871230000000,1810.63,2.08100
2017,12,15,2017.953420000000,1802.39,2.85800
2018,1,15,2018.038360000000,1793.54,2.30500
2018,2,15,2018.123290000000,1789.15,0.722000
2018,3,15,2018.200000000000,1790.95,1.59200
2018,4,15,2018.284930000000,1797.99,2.60400
2018,5,15,2018.367120000000,1806.87,2.68100
2018,6,15,2018.452050000000,1814.62,2.13800
2018,7,15,2018.534250000000,1821.24,1.96600
2018,8,15,2018.619180000000,1826.47,1.30900
2018,9,15,2018.704110000000,1828.77,0.536000
2018,10,15,2018.786300000000,1827.12,1.29500
2018,11,15,2018.871230000000,1820.71,2.58600
2018,12,15,2018.953420000000,1811.09,3.06300
2019,1,15,2019.038360000000,1802.22,2.17900
2019,2,15,2019.123290000000,1797.99,0.719000
2019,3,15,2019.200000000000,1798.72,1.12700
2019,4,15,2019.284930000000,1803.53,2.00100
2019,5,15,2019.367120000000,1811.05,2.55600
2019,6,15,2019.452050000000,1819.08,2.34100
2019,7,15,2019.534250000000,1826.05,1.95600
2019,8,15,2019.619180000000,1831.23,1.26600
2019,9,15,2019.704110000000,1833.30,0.430000
2019,10,15,2019.786300000000,1831.81,1.13300
2019,11,15,2019.871230000000,1826.46,2.29200
2019,12,15,2019.953420000000,1817.43,3.07700
2020,1,15,2020.038250000000,1808.05,2.44100
2020,2,15,2020.122950000000,1803.29,0.808000
2020,3,15,2020.202190000000,1804.58,1.26700
2020,4,15,2020.286890000000,1809.73,1.92800
2020,5,15,2020.368850000000,1817.14,2.65600
2020,6,15,2020.453550000000,1826.10,2.72900
2020,7,15,2020.535520000000,1834.18,2.17100
2020,8,15,2020.620220000000,1839.89,1.37500
2020,9,15,2020.704920000000,1842.56,0.598000
2020,10,15,2020.786890000000,1841.98,0.873000
2020,11,15,2020.871580000000,1838.12,1.77100
2020,12,15,2020.953550000000,1830.30,2.93200
2021,1,15,2021.038360000000,1821.12,2.38100
