Hail ID,Date/Time,Latitude,Longitude,Nearest town,State,Hail size,Comments,
70,1902-10-11 02:15:00,-32.9334,151.6333,COCKLE CREEK,NSW,7.0," HAIL FROM 2.5-7 CM IN DIAMETER (1-3"), LASTED FOR 15 MINS",
71,1902-10-22 14:00:00,-35.0000,145.1000,WILLURAH,NSW,2.5," HAIL 0.25-1" DIAMETER, 1.62"/35 MIN, 6 MILES TO EAST 4.5"/35 MINS",
72,1903-11-29 14:00:00,-34.2000,147.7833,MORANGARELL,NSW,5.5, HAIL AS LARGE AS HENS EGGS,
73,1903-12-08 14:00:00,-29.2200,153.3300,ABERDARE,NSW,5.5, HAIL UP TO 5.5 CM DIAMETER,
74,1903-12-14 14:00:00,-32.6833,148.7333,YOOROOGA (GOOROOGA ?) *,NSW,0.0," SLWS,DAY NOT GIVEN, APPEARED LIKE A TORNADO, HEAVY HAIL, TREES TORN UP CROPS FLATTENED",
75,1904-04-05 14:00:00,-32.4167,147.7000,ALAGALA,NSW,0.0, ALSO VERY HEAVY HAIL,
76,1904-12-01 13:59:00,-30.1167,149.3167,PENDENNIS,NSW,5.0," PIGEON-HENS EGG SIZE HAIL, STORM 1 MILE WIDE LASTED 0.5 HR, BIRDS DEAD, FRUIT/VEGETABLES DESTROYED",
77,1904-12-18 14:00:00,-33.4000,151.7500,DUNGOG,NSW,4.0, PIGEON EGG SIZED HAIL,
78,1904-12-23 14:00:00,-29.8667,152.4500,DALMORTON,NSW,0.0," DAMAGE PATH 60 MILES LONG- 1 MILE WIDE, BLDNGS UNROOFED, LARGE TREES DOWN, LARGE HAIL NO SIZE GIVEN",
79,1905-02-18 14:00:00,-35.8334,144.9167,"MOIRA VALE  (CWP ?, MOIRA ?)",NSW,5.5," HAIL AS LARGE AS HENS EGGS, PENETRATED IRON ROOFS, GREAT DAMAGE TO GARDENS AND WINDOWS",
80,1905-02-18 14:00:00,-31.1000,150.1333,WONDOBAH (NEAR MOIRA VALE ?),NSW,0.0," TERRIFIC HAIL, GALE OF WIND, HEAVY RAIN",
81,1905-06-21 14:00:00,-35.3000,146.4300,MOORAL/WANGERON  *,NSW,5.5," HAIL AS ALRGE AS HEN/TURKEY EGGS, ON GROUND 1.5 HRS LATER, JAGGED, KILLED RABBITS/BIRDS",
82,1905-11-29 14:00:00,-29.5333,151.7333,RANGERS VALLEY,NSW,5.5," HAIL AS LARGE AS HENS EGGS ON GROUND FOR 24 HRS IN GULLIES,4-6' DRIFTS A FORTNIGHT LATER,GAUGE OFLWD",
83,1905-12-30 14:00:00,-36.6833,149.8500,BEGA,NSW,0.0," TREES TORN TO PIECES, GREAT DAMAGE TO FRUITCROPS,LOCAL FLOODING, BUILDING DESTROYED,TIME GIVEN AS PM",
84,1906-01-04 14:00:00,-29.7667,151.9000,RED RANGE,NSW,0.0," HAIL IN DRIFTS 3.5' DEEP, DESTROYED WHEAT AND CROPS",
85,1906-01-12 14:00:00,-34.6000,150.5333,WILDES MEADOW,NSW,0.0," SEVERE HAILSTORM, FEET DEEP, JAGGED LUMPS OF ICE UP TO 3.5 OZ",
86,1906-01-21 14:00:00,-30.4333,152.3333,GUY FAWKES,NSW,5.0, GREAT AMOUNT OF HAIL SOME 5 CM IN DIAMETER,
87,1906-01-25 05:20:00,-33.8834,151.2167,RED HILL OBSERVATORY,NSW,3.0, HAIL SOME 3 CM IN DIAMETER,
88,1906-03-25 14:00:00,-36.1000,149.5000,BURROWA,NSW,4.0, PIGEON EGG SIZE HAIL,
89,1906-03-25 14:00:00,-31.6500,145.8333,BARROW VALE,NSW,2.0, HEAVY HAILSTORM,
90,1906-11-27 14:00:00,-32.3167,146.7000,BOBADAH,NSW,5.5," MOSTLY EGG SIZE HAIL, SOME TO 0.5 POUND IN WEIGHT",
91,1906-11-27 14:00:00,-34.7167,143.4167,CANALLY (NEAR BRN),NSW,4.0," PIGEON EGG SIZE HAIL, TREES STRIPPED OF LEAVES/FRUIT, HOLED ROOFING",
92,1906-11-27 14:00:00,-30.4167,148.1500,COMBOGOLONG,NSW,4.0," HEAVY HAILSTORM, DAMAGED GARDENS KILLED BIRDS",
93,1907-02-07 14:00:00,-28.8667,153.5667,BALLINA/WOODBURN SOUTH,NSW,5.5," 100'S OF PANES OF GLASS BROKEN, FEW HOUSES BLOWN DOWN, HEN EGG SIZE HAIL THRU IRON ROOFS AT WOODBURN STH",
94,1907-02-08 14:00:00,-32.8334,151.3333,ABERDARE,NSW,7.5," SOME HAIL UP TO 7.5 CM DIAMETER, GREAT CROP DAMAGE, PENETRATED IRON ROOFS, LOCAL CHURCH BLOWN DOWN",
95,1907-04-28 14:00:00,-31.2667,149.2833,COONABARABRAN,NSW,5.0, SOME HAIL TO 5 CM DIAMETER,
96,1907-09-30 14:00:00,-33.6833,149.2667,HANOVER,NSW,5.5, JAGGED HAIL AS LARGE AS HENS EGGS,
97,1907-10-06 14:00:00,-29.7667,151.1167,INVERELL,NSW,5.5, HAIL AS LARGE AS HENS EGGS,
98,1907-11-23 08:15:00,-33.8834,151.2167,SYDNEY METRO,NSW,5.5, HAILSTORM AT NORTH SYDNEY AT 1915.,
99,1907-11-23 14:00:00,-30.9667,152.8834,SEVEN OAKS,NSW,5.5, HAIL AS LARGE AS HENS EGGS,
100,1908-02-29 14:00:00,-33.6000,150.7500,RICHMOND,NSW,2.5," POSSIBLE TORNADO, 2.5 CM HAIL LASTED 9 MIN - 13MM, CROPS AND TREES  DAMAGED",
101,1908-11-13 14:00:00,-35.2000,149.4000,KOORONG,NSW,4.0," HAIL UP TO 4 CM DIAMETER PIERCED IRON ROOFS/TANKS, CROPS/ORCHARDS DESTROYED",
102,1908-11-22 14:00:00,-31.6833,147.4333,MULLENGUDGERY,NSW,5.5, HAIL AS LARGE AS HENS EGGS PENETRATED IRON ROOFS ETC,
103,1908-12-24 14:00:00,-30.3000,153.1333,COFFS HARBOUR,NSW,5.5," HEAVY SOUTHERLY SQUALL UNROOFED/DAMAGED BUILDINGS, HAIL/ROUGH ICE AS LARGE AS HENS EGGS",
104,1908-12-25 04:00:00,-30.8167,152.5167,BELLBROOK,NSW,7.5," HAIL AS LARGE AS HENS EGGS, NEARBY ALA CRICKET BALLS - PIECES OF ICE 2"x3" HOLED IRON ROOFS",
105,1908-12-26 14:00:00,-29.7333,151.7333,GLEN INNES,NSW,5.5, HAIL AS LARGE AS HENS EGGS LASTED 10 MINS,
106,1909-01-16 14:00:00,-30.7000,150.0500,BOGGABRI (ROBERTSONS MTN),NSW,4.0," HAIL PIERCES IRON ROOFS (TAKE AS AT LEAST 4 CM), KILLS FOWLS RABBITS AND HARES, STRONG WINDS",
107,1909-02-14 14:00:00,-36.2333,149.1333,COOMA,NSW,2.5, 1" DIAMETER HAIL,
108,1909-03-01 14:00:00,-34.4500,145.7000,BRINGAGEE,NSW,0.0," 1.72"/25 MINS, TERRIFIC GALE AND HAILSTORM",
109,1909-08-18 14:00:00,-31.9667,141.4500,BROKEN HILL,NSW,2.0," HAIL DAMAGES WINDOWS, THICK GLASS ON P.O CLOCK BROKEN, (TAKE AS >= 2 CM)",
110,1909-10-26 14:00:00,-32.6000,149.5833,MUDGEE,NSW,4.0," HAIL AS LARGE AS PIGEONS EGGS, 56MM/45 MINS",
111,1909-11-01 14:00:00,-29.2200,153.3300,ABERDARE,NSW,0.0," HORSES AND CATTLE KILLED, ALL HOUSES DAMAGED",
112,1910-01-20 14:00:00,-31.1167,149.1167,BUGALDIE,NSW,5.5," SOME HAIL AS LARGE AS EGGS, UNROOFED SEVERAL SHEDS, BLEW DOWN TREES HAYSTACKS",
113,1910-01-27 14:00:00,-29.9667,146.8667,BREWARRINA,NSW,5.5," DAMAGE PATH 0.5-2 MILE WIDE IN ZIG ZAG TRAIL, HAIL HEN EGG SIZE AND JAGGED, DESTROYED MANY HOMES",
114,1910-01-28 06:00:00,-31.1667,146.0000,CORONGA DOWNS/KERGUNYAH,NSW,0.0," HAIL STRIPPED MILES OF GREEN FOLIAGE AWAY, WIND BROKE GREAT DEAL OF TIMBER, RECORD FLD DEST. MILES OF FENCING",
115,1910-02-08 14:00:00,-31.8167,151.3167,ELLERSTON (NEAR SCONE),NSW,2.0, SOME STONES 2 CM DIAMETER 2 HOURS AFTER STORM,
116,1910-11-04 14:00:00,-29.7000,144.1167,WANAARING STATION,NSW,4.0," HAIL HOLED GALVANISED IRON (TAKE HAIL TO BE >= 4 CM) AND BROKE WINDOWS, BIRDS KILLED",
117,1910-11-04 14:00:00,-30.9167,142.9334,GEMVILLE (WHITE CLIFFS),NSW,0.0," DAMAGE TRAIL THRU SCRUB, WIND IN KNOTS - ESTIMATED, HAIL STRIPPED GROUND BARE",
118,1911-01-05 14:00:00,-32.6667,146.5500,PINNACLE/GRENFELL,NSW,2.0," HAIL KILLED POULTRY, WINDOWS BROKEN (TAKE AS >= 2 CM), MUCH TIMBER TORN DOWN",
119,1911-01-25 07:00:00,-33.1167,148.7500,GARRA (MOLONG),NSW,4.0, HAIL LARGE PEA SIZE WITH PIGEON EGG SIZE,
120,1911-03-12 00:15:00,-31.8333,149.7167,COOLAH,NSW,5.5," HOUSES AND STREETS FLOODED, HEN EGG SIZED HAIL",
121,1911-03-12 14:00:00,-36.4667,149.8333,VERONA,NSW,4.0," HAIL AS LARGE AS PIGEONS EGGS FELL WITH GREAT FORCE, FEW WINDOWS    BROKEN",
122,1911-03-13 07:00:00,-30.1167,151.4167,CAMDON PARK,NSW,4.0, VERY LARGE HAIL PIERCED GALVANISED IRON ROOFS (TAKE TO BE >= 4 CM),
123,1911-09-14 14:00:00,-35.5333,148.1500,BATLOW,NSW,4.0," DAY NOT GIVEN ONLY LATTER PART OF MONTH, HAIL AS LARGE AS PIGEONS   EGGS IN PLACES",
124,1911-09-27 14:00:00,-36.4667,149.8333,VERONA,NSW,4.0, PIGEON EGG SIZE HAIL,
125,1911-09-27 14:00:00,-33.6000,151.0167,GLENORIE,NSW,4.0, AS LARGE AS PIGEONS EGGS,
126,1911-09-28 06:00:00,-30.3500,148.8834,PILLIGA,NSW,2.0," MANY WINDOWS BROKEN (TAKE TO BE >= 2 CM), FRUIT AND VEGETABLE GARDENS DAMAGED",
127,1911-10-18 14:00:00,-37.0667,149.9167,YAMBULLA (EDEN),NSW,4.0," PIGEON EGG SIZE HAIL, DAMAGE TO ORCHARDS/GARDENS",
128,1911-10-30 14:00:00,-36.6167,149.6833,NUMBUGGA,NSW,2.0," "UNUSUALLY LARGE", STRIPPED ALL ORCHARDS & GARDENS, KILLED FOWLS AND CHICKENS, (TAKE AS >=2 CM)",
129,1912-01-04 14:00:00,-33.4167,148.8167,CARGO,NSW,5.5," HEN EGG SIZE HAIL, WINDOWS BROKEN, WHEAT CROPS DESTROYED",
130,1912-02-08 08:00:00,-33.1500,149.9834,CAPERTEE,NSW,4.4," WINDOWS BROKEN, PLANTS/VEGETABLES BATTERED TO PIECES",
131,1912-03-27 14:00:00,-34.1833,150.6167,PICTON (COX'S RIVER),NSW,5.5, GOOSE EGG SIZE HAIL,
132,1912-03-28 09:45:00,-33.7833,150.7833,ST MARYS,NSW,4.0," LARGER THAN PIGEON'S EGGS, GREAT PROPERTY DAMAGE",
133,1912-03-28 16:00:00,-35.3500,149.2333,QUEANBEYAN,NSW,0.0," RAIN AND HAIL DRIFTS (3 - 5 FEET) RESULTED IN FLOODS IN ALL CREEKS, MUCH DAMAGE",
134,1912-03-29 14:00:00,-34.1833,150.6167,PICTON,NSW,5.5," HAIL PENETRATED ROOFS, 7" CIRCUMFERENCE - 3.5 OZ",
135,1912-10-13 14:00:00,-30.2167,151.6667,GUYRA,NSW,5.5, HEN EGG SIZE HAIL,
136,1912-11-09 14:00:00,-33.5333,149.7167,O'CONNELL,NSW,0.0," NO SIZE, PRACTICALLY RUINED ALL CROPS IN ITS PATH",
137,1912-12-11 14:00:00,-29.3000,152.5333,CLARENCE HEADS,NSW,7.0," MUCH DAMAGE TO WINDOWS AND BUILDINGS, UP TO 3" DIAMETER",
138,1912-12-19 14:00:00,-29.7667,151.1167,INVERELL,NSW,7.5," TEACUP SIZE HAIL PIERCED IRON ROOFS, KILLED TURKEYS/FOWL,BROKE LIMBSOFF TREES,DESTROYED CROPS/FRUIT",
139,1912-12-20 07:30:00,-29.3833,150.9834,KAHMA,NSW,7.5," TEACUP SIZE HAIL PIERCED IRON ROOFS, KILLED TURKEYS/FOWL, BROKE LIMBS OFF TREES, DESTROYED CROPS",
140,1912-12-22 14:00:00,-33.8834,150.6667,KEMPS CREEK,NSW,5.5," HAIL LARGER THAN HENS EGGS, CONSIDERABLE DAMAGE",
141,1912-12-30 14:00:00,-30.3000,150.8167,NERANGHI (BARRABA),NSW,0.0," XXRA AND HAIL, BIG LOCAL FLOODS, HAIL IN 2' DRIFTS",
142,1913-02-20 14:00:00,-31.7167,148.6500,GILGANDRA,NSW,0.0," NO SIZE,DESTRUCTION TO WINDOWS AND GARDENS, 15 CM DRIFTS HOURS LATER",
143,1913-10-27 06:00:00,-34.1000,141.9167,WENTWORTH,NSW,4.0," PIGEON EGG SIZE HAIL, RAIN BETWEEN 1600 AND 1800",
144,1913-11-03 14:00:00,-30.1333,151.4333,TENTERDEN (GUYRA),NSW,5.5, HAIL UP TO HEN EGG SIZE IN PATCHES,
145,1913-11-20 14:00:00,-30.9834,151.5833,WALCHA,NSW,5.0," VERY LARGE HAIL, SOME JAGGED AND 5 CM IN DIAMETER",
146,1913-12-11 14:00:00,-30.5167,151.6667,ARMIDALE,NSW,0.0," NO SIZE,SOME ROUND-SMOOTH OTHERS JAGGED LUMPS, GALVANISED IRON ROOFSPIERCED, MANY WINDOWS BROKEN",
147,1914-03-23 14:00:00,-32.2500,148.6167,THE MEADOWS (DUBBO),NSW,5.0," AS LARGE AS PIGEONS EGGS, ONE LUMP WAS 5 CM DIAMETER, KILLED SMALL  BIRDS, STORM 3 MILES WIDE",
148,1914-04-15 14:00:00,-28.7000,150.8000,WILLOW BEND,NSW,2.7, HALF HEN EGG SIZE,
149,1914-04-15 14:00:00,-29.1167,150.2667,BUCKIE,NSW,4.0," IMMENSE HAILSTORM,PENETRATED ROOFS OF HOUSES (TAKE AS >= 4 CM),UP TO 125 MM TOWARD QLD BORDER",
150,1914-10-27 14:00:00,-33.0000,148.7500,CUMNOCK/MOLONG,NSW,0.0," CROPS UTTERLY DESTROYED BY HAIL - NO SIZE, SHEEP & CATTLE DROWNED",
151,1914-11-09 06:30:00,-30.0333,150.1000,NARUA,NSW,0.0," LASTED 7 MINS 3 MILES WIDE,CROPS CHOPPED TO PIECES/WASHED AWAY,MILESFENCING DEST.,BIRDS/RABBITS DEAD",
152,1914-12-06 14:00:00,-31.6000,152.7333,HERON'S CREEK,NSW,6.0," JAGGED IN FROM, MANY 6 CM DIAMETER",
153,1914-12-31 00:30:00,-30.1000,148.9667,BURREN JUNCTION,NSW,4.0," HAIL AS LARGE AS PIGEONS EGGS, WIND IN KNOTS (EST.), WHIRLWINDS SEEN",
154,1922-01-25 09:10:00,-33.8834,151.2167,SYDNEY METRO,NSW,4.0, HAILSTORM,
155,1932-01-07 04:00:00,-31.5800,151.3200,NUNDLE,NSW,5.0, KILLED FOWLS & CAUSED MUCH DAMAGE. CAUSED 4 INCH HOLES IN CORRUGATED IRON.,
156,1932-11-20 14:00:00,-30.4167,150.3000,MAULES CREEK,NSW,5.5," SLWS,UNROOFED SEVERAL HOUSES AND SHEDS, HEN EGG SIZE HAIL",
157,1945-02-20 14:00:00,-33.8834,151.2167,SYDNEY,NSW,5.0," 2" HAIL, 0.95"/20 MINS",
158,1947-01-01 04:00:00,-33.8667,151.2000,SYDNEY,NSW,6.0,"Hundreds of people injured by huge hailstones and flying glass from broken windows. "Hundreds of thousands of pounds" estimated damage. Eastern suburbs of Sydney hardest hit. GREAT SYDNEY HAILSTORM.TILED ROOFS SMASHED, CARS DAMAGED,HUMANS INJURED.ROOF OF CENTRAL STATION PARTIALLY DESTROYED.",
159,1950-11-09 07:00:00,-31.5667,143.3667,WILCANNIA,NSW,7.0," CRICKET BALL SIZE HAIL, DOZENS OF HOUSES UNROOFED",
160,1952-01-06 14:00:00,-33.6000,150.7500,MAROOTA,NSW,3.5," COTTAGE/TREES BLOWN DOWN, HAIL DESTROYS ORCHARD",
161,1952-11-05 14:00:00,-33.8834,151.2167,SYDNEY,NSW,3.7, 1.5" HAIL,
162,1952-11-19 14:00:00,-29.5667,153.1167,COWPER (NEAR GRAFTON),NSW,0.0," BUILDINGS UNROOFED, CROPS RUINED, POWER LINES DOWN",
163,1956-01-11 05:30:00,-33.8834,150.6000,WARRAGAMBA,NSW,6.3," TENNIS BALL SIZE HAIL, 10,000 POUNDS DAMAGE",
164,1957-02-08 08:00:00,-33.8834,151.2167,EASTWOOD,NSW,2.5," TORNADO, HOUSES UNROOFED, WATER 4' DEEP ON SOME ROADS, 1" HAIL, 34MM/13 MINS (23MM/6 MINS), LASTED 20 MINS",
165,1957-03-11 14:00:00,-29.6833,152.9334,GRAFTON,NSW,2.0," WATER TANKS HOLED BY HAIL (TAKE AS >=2 CM), 000'S POUNDS DAMAGE,CROPS FLATTENED, STOCK HURT",
166,1957-10-27 14:00:00,-28.1667,153.5500,TWEED RIVER,NSW,0.0," TORNADO, 9"OF HAIL+2"RAIN/ <1HR",
167,1958-01-12 14:00:00,-28.8667,153.0500,CASINO,NSW,5.5," TORNADO, 2000 HOUSES DAMAGED, ROOFS LIFTED OFF, HEN EGG SIZE HAIL, TREE DAMAGE",
168,1958-01-18 14:00:00,-31.6500,149.5833,WEETALIBA,NSW,7.0, CRICKET BALL SIZE HAIL - 5 OUNCES,
169,1958-02-11 14:00:00,-33.8834,151.2167,SYDNEY,NSW,4.4," GOLF BALL SIZE HAIL, 800 HOMES DAMAGED",
170,1958-12-03 14:00:00,-28.8667,153.5667,BALLINA,NSW,2.0," WIND > 70 MPH (EST.), MANY WINDOWS BROKEN (TAKE HAIL >= 2 CM)",
171,1958-12-10 14:00:00,-36.6833,149.8500,BEGA/CANDELO,NSW,5.0," 2" HAIL, 1.5" RAIN/30 MINS",
172,1959-01-14 14:00:00,-29.3167,151.1000,ASHFORD/INVERELL,NSW,0.0," TORNADIC STORM DESTROYS BUILDINGS, WIND > 80 MPH (EST.), WIPED OUT TOBACCO CROPS",
173,1959-02-06 14:00:00,-33.8834,151.2167,SYDNEY,NSW,2.5," FLASH FLOOD, 1" HAIL",
174,1959-02-07 14:00:00,-30.7833,152.7000,TAYLORS ARM,NSW,4.0, 6 OUNCE HAIL PUNCTURES IRON ROOFS (TAKE AS >= 4 CM),
175,1959-09-19 05:30:00,-33.3167,151.4167,TUGGERAH LAKES,NSW,6.0," SEV DMGD OR DEST. 400 HOMES, 6 MI LONG x 1/2 MI WIDE, WIND EST., 2 HRS BEF SUNSET,LIFTED WATER 100' INTO AIR",
176,1959-12-22 14:00:00,-28.5667,152.6000,OLD BONALBO,NSW,4.0, HAIL HOLES ROOFS/WATER TANKS (TAKE AS >= 4 CM),
177,1960-03-06 14:00:00,-35.1000,150.6500,EROWAL BAY/ST GEORGE'S BASIN,NSW,5.0," 2" HAIL, DAMAGE",
178,1960-10-30 12:00:00,-33.8834,151.2167,SYDNEY,NSW,2.5, 1" HAIL,
179,1960-11-23 14:00:00,-32.9334,151.7667,NEWCASTLE,NSW,6.3," TENNIS BALL SIZE HAIL, MUCH DAMAGE",
180,1960-11-24 02:35:00,-33.8834,151.2167,SYDNEY METRO,NSW,4.0, HAIL REPORTED MAINLY AT CABARITA.DAMAGE BY FLASH FLOODING.LASTED 55 MINS.,
181,1961-01-13 14:00:00,-29.7667,151.1167,INVERELL,NSW,0.0," BUILDING UNROOFED, HAIL PIERCES CAR BODIES",
182,1961-02-09 14:00:00,-30.2167,151.6667,GUYRA,NSW,5.5," HEN EGG SIZE HAIL, SHOPS/FENCES/TREES BLOWN DOWN",
183,1961-02-25 14:00:00,-30.3000,153.1333,COFFS HARBOUR,NSW,7.0," CRICKET BALL SIZE HAIL, BANANA CROP SEVERELY DAMGD",
184,1961-10-15 14:00:00,-29.7667,151.1167,INVERELL,NSW,4.4, GOLF BALL SIZE HAIL,
185,1961-11-01 09:05:00,-33.8834,151.2167,SYDNEY METRO,NSW,4.2, HAILSTORM MAINLY AT ARTARMON & REVESBY.,
186,1962-11-07 14:00:00,-28.8167,153.1667,LISMORE,NSW,2.5," TORNADO, 1" HAIL, MAN CARRIED 30 YDS THROUGH AIR AT GOLF COURSE, PART OF CLUB HOUSE ROOF TORN OFF",
187,1962-11-11 14:00:00,-28.8667,153.0500,WOODVIEW/CASINO,NSW,7.0," CRICKET BALL HAIL, DAMAGE PATH 5 MILES LONG x 220-440 YDS WIDE, HOUSES FLATTENED, TREES SNAPPED OFF",
188,1963-01-02 14:00:00,-33.8834,151.2167,SYDNEY,NSW,3.7," TORNADIC SQUALL, 1.5" HAIL, BUILDINGS DAMAGED",
189,1963-03-09 14:00:00,-33.8834,151.2167,SYDNEY,NSW,2.5," A'NOON/NIGHT, 1" HAIL",
190,1963-09-29 14:00:00,-33.8834,151.2167,SYDNEY,NSW,4.4, HAIL UP TO GOLF BALL SIZE,
191,1963-11-22 07:00:00,-33.7500,150.7000,PENRITH,NSW,2.5," SLWS, 1" HAIL",
192,1964-10-01 14:00:00,-33.3833,146.5667,BURGOONEY / LAKE CARGELLICO,NSW,4.0, PIGEON EGG SIZE HAIL,
193,1964-11-21 14:00:00,-29.6500,150.8333,DELUNGRA,NSW,4.0, APRICOT SIZE HAIL,
194,1964-11-29 14:00:00,-29.3167,151.1000,ASHFORD,NSW,5.5, HAIL LARGER THAN HEN EGGS,
195,1964-12-05 14:00:00,-29.0000,153.0000,NORTH COAST,NSW,5.5," HEN EGG SIZE HAIL, DAMAGE",
196,1964-12-28 14:00:00,-30.2500,153.0500,KARANGI,NSW,6.3," 2.5" HAIL, WIND 90 MPH EST., CROP/HOME DAMAGE",
197,1964-12-31 14:00:00,-36.7333,149.9834,TATHRA,NSW,2.5," 1" HAIL, PART OF BOWLING CLUB ROOF LIFTED OFF, TREES UPROOTED",
198,1966-03-22 14:00:00,-31.9167,152.2500,KIMBRIKI (14 SW OF TAREE),NSW,0.0," 6"/1 HOUR, CROPS DESTROYED BY HAIL",
199,1966-03-23 05:25:00,-31.9000,152.4833,TAREE,NSW,4.4, GOLF BALL SIZE HAIL,
200,1966-11-05 14:00:00,-29.6500,150.7167,OAKWOOD (NEAR DELUNGRA),NSW,2.0," SEV. HAIL KILLS CATTLE (TAKE AS >= 2 CM), 2' DRIFTS 15 HOURS LATER",
201,1966-12-29 14:00:00,-33.4167,149.5833,BATHURST,NSW,4.0," PIGEON EGG SIZE HAIL, MINOR FLOODING,(& BUNDANOON)",
202,1966-12-29 14:00:00,-34.5500,150.3833,MOSSVALE/EXETER/BUNDANOON,NSW,4.0," PIGEON EGG SIZE HAIL, MINOR FLOODING",
203,1967-01-28 08:00:00,-35.8167,145.5667,TOCUMWAL/FINLEY/COBRAM,NSW,7.0," TORNADO, WINDS EST., CRICKET BALL SIZE HAIL, DAMAGE",
204,1967-12-14 08:15:00,-33.8834,151.2167,MASCOT/MOSMAN,NSW,6.2," HAIL UP TO 2.5", $300,000 DAMAGE, TORNADO AT MOSMAN",
205,1969-09-21 14:00:00,-33.8834,151.2167,DEE WHY,NSW,2.5, 1" HAIL,
206,1969-10-11 05:00:00,-34.8167,147.2000,COOLAMON,NSW,5.5, EGG SIZE HAIL CAUSES STRUCTURAL DAMAGE,
207,1969-11-10 14:00:00,-30.3333,149.7833,NARRABRI,NSW,6.3, TENNIS BALL SIZE HAIL,
208,1969-11-11 09:00:00,-29.0500,151.2667,BONSHAW,NSW,0.0," FLASH FLOOD, AUSTRALIAN HEAVY RAIN/HAIL RECORD, VERY HEAVY HAIL",
209,1969-11-18 09:00:00,-33.8834,151.2167,SYDNEY,NSW,5.0, 1.5-2" HAIL,
210,1969-12-31 14:00:00,-31.0833,152.8333,KEMPSEY,NSW,0.0," TORNADIC SQUALL, VERY LARGE HAIL, EXTENSIVE DAMAGE",
211,1969-12-31 14:00:00,-32.9334,151.7667,NEWCASTLE,NSW,0.0," TORNADIC SQUALL, VERY LARGE HAIL, EXTENSIVE DAMAGE",
212,1970-02-09 14:00:00,-33.2833,149.1000,ORANGE,NSW,2.0, STOCK KILLED (TAKE AS GREATER THAN 2 CM),
213,1970-02-10 14:00:00,-34.8500,148.9167,YASS,NSW,2.0, STOCK KILLED (TAKE AS GREATER THAN 2 CM),
214,1970-12-31 14:00:00,-33.8834,151.2167,SYDNEY METRO,NSW,7.0," SOLID LUMPS UPTO 1.8kg.DAMAGE TO ROOFS,WINDOWS,CARS &PEOPLE.BONDI WORST AREA HIT.",
215,1971-01-02 14:00:00,-33.8834,151.2167,SYDNEY,NSW,4.4, HAIL TO GOLF BALL SIZE,
216,1971-01-26 09:45:00,-35.2833,149.2167,CANBERRA/WODEN VALLEY,NSW,4.2," 4"/1 HOUR, FLASH FLOOD, 7 DEAD.55MM/48MINS WODEN VALLEY.",
217,1971-08-20 17:00:00,-33.8834,151.2167,PADDINGTON,NSW,5.0," TORNADO,1.5-2" HAIL, FLOODS, $1.5 MILLION DAMAGE, PADDO PLUVIO 68 MM/1 HR 09-1000, OBS HILL 63MM 17-1800",
218,1971-10-26 08:00:00,-31.0833,150.9334,TAMWORTH,NSW,4.4," GOLF BALL SIZE HAIL, STRUCTURAL DAMAGE",
219,1972-01-22 14:00:00,-31.0000,152.8333,NORTH OF KEMPSEY,NSW,4.4," GOLF BALL SIZE HAIL, 350 ACRES BANANAS DESTROYED",
